sensor;servicePoint;client;transmitter;date;meterDiameter;volume_l_value;index_interpolated_d_l_value
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;01/01/2019;40;0.0;5623306.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;02/01/2019;40;61.0;5623306.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;03/01/2019;40;7.0;5623367.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;04/01/2019;40;5.0;5623374.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;05/01/2019;40;3.0;5623379.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;06/01/2019;40;1200.0;5623382.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;07/01/2019;40;1076.0;5624582.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;08/01/2019;40;2346.0;5625658.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;09/01/2019;40;4533.0;5628004.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;10/01/2019;40;1165.0;5632537.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;11/01/2019;40;7.0;5633702.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;12/01/2019;40;11.0;5633709.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;13/01/2019;40;1614.0;5633720.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;14/01/2019;40;1229.0;5635334.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;15/01/2019;40;66.0;5636563.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;16/01/2019;40;1005.0;5636629.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;17/01/2019;40;1083.0;5637634.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;18/01/2019;40;11.0;5638717.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;19/01/2019;40;8.0;5638728.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;20/01/2019;40;1155.0;5638736.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;21/01/2019;40;1228.0;5639891.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;22/01/2019;40;51.0;5641119.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;23/01/2019;40;1072.0;5641170.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;24/01/2019;40;1143.0;5642242.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;25/01/2019;40;5.0;5643385.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;26/01/2019;40;0.0;5643390.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;27/01/2019;40;1196.0;5643390.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;28/01/2019;40;1201.0;5644586.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;29/01/2019;40;70.0;5645787.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;30/01/2019;40;911.0;5645857.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;31/01/2019;40;1248.0;5646768.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;01/02/2019;40;15.0;5648016.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;02/02/2019;40;1.0;5648031.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;03/02/2019;40;1031.0;5648032.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;04/02/2019;40;1256.0;5649063.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;05/02/2019;40;69.0;5650319.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;06/02/2019;40;1213.0;5650388.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;07/02/2019;40;886.0;5651601.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;08/02/2019;40;16.0;5652487.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;09/02/2019;40;5.0;5652503.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;10/02/2019;40;1.0;5652508.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;11/02/2019;40;0.0;5652509.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;12/02/2019;40;1.0;5652509.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;13/02/2019;40;1.0;5652510.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;14/02/2019;40;0.0;5652511.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;15/02/2019;40;1.0;5652511.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;16/02/2019;40;0.0;5652512.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;17/02/2019;40;0.0;5652512.0
C04AE134021;9,84588E+11;LYONNAISE;C01E00D9;18/02/2019;40;1.0;5652512.0
